entry,pdb_code
P0DQI9,null
P0DQJ0,null
P0DQJ1,null
P0DQS4,null
P0DQS9,null
P0DQT0,null
P0DQX9,null
P0DSI4,null
P0DSI5,null
P0DSI6,null
P0DSI8,null
P0DSI9,null
P0DSJ0,null
P0DSJ1,null
P0DSJ7,null
P0DSJ8,null
P0DSJ9,null
P0DSK1,null
P0DSK2,null
P0DSK4,null
P0DSK5,null
P0DSK6,null
P0DSK8,null
P0DSK9,null
P0DSL1,null
P0DSL2,null
P0DSL6,null
P0DSM2,null
P0DSM3,null
P0DSM5,null
P0DUU6,null
P0DUU7,null
P0DUU8,null
P0DUU9,null
P0DUV0,null
P0DV13,null
P0DX30,null
P30251,null
P30252,null
P30253,1HRL
P30254,1V28
P30255,null
P30256,null
P30257,null
P36987,null
P36989,null
P36990,null
P41965,null
P42718,null
P58609,null
P61229,null
P68422,null
P81596,null
P81597,null
P81598,null
P83282,null
P83661,null
P85875,null
P85879,null
P85880,null
Q5Y4Y5,null
Q6H2Z4,null
Q75WH1,null
Q86QT2,null
Q8T3S6,null
A0A6B9L1A2,null
P0DSL5,null
A0A384E129,6CEG
B1P1F5,null
B3EWH2,null
B7S4N9,null
C0HJD9,null
C0HJQ2,null
D2Y232,1NIY 1RYG 1RYV
D2Y233,null
D2Y2D7,null
O61705,2KBK
P01485,null
P01521,null
P01522,1OMC 1TR6 1TTL 2CCO
P01523,1TCG 1TCH 1TCJ 1TCK
P05484,1DW4 1DW5 1FEO 1MVI 1OMG 1TT3 1TTK 7MIX 7VFU
P0C195,2LXG 6J8E 7SAV 7SAW
P0C1D0,2JUQ 2JUR 2JUS 2JUT 2MTO 2MTT 6HY7 7EGR
P0C1R7,2GCZ 7N43
P0C1V7,7N20 7N21 7N22 7N23
P0C349,null
P0CY66,5ZNU
P0DJ31,2K9O
P0DJ41,2NDD
P0DL37,6MZT
P0DL72,6MK5
P0DQN3,null
P16341,1SCY
P17727,null
P24335,null
P28880,null
P29186,1BGK
P29187,1BEI 1C2U 1ROO 2K9E 4LFQ 4LFS 4Z7P 5I5A 5I5B 5I5C
P50982,1K64
P50983,1CNL 1G2G 1IM1 1IMI 2BC7 2BC8 2BYP 2C9T 2IGU 2MOA
P50984,1PEN 2BR8 7N1Z
P55896,1SCO 2CK4 2CK5
P56633,1AV3 1KCP 2N8E
P56636,1M2C 1MII 2AJW 2AK0
P56638,1A0M 7N0T 7N24 7N25 7N26
P56676,1QK6
P58920,null
P59867,1QUZ 1WPD 1Y2P
